"Zona","Precio (€/mes)","Habitaciones","Baños","Metros cuadrados","Planta","Ubicación","Caracteristicas","Extras","Contacto","Telefono","Detalles contacto","Descripcion","Images","ref. Fotocasa","url"
"Olesa de Montserrat","900","4","2","85","3ª","Dúplex en Olesa De Montserrat, Zona De Eixample / Olesa de Montserrat","Tipo de inmueble : Dúplex, Planta : 3ª planta, Estado : Casi nuevo, Antigüedad : De 10 a 20 años","Aire acondicionado, Ascensor, Balcón, Calefacción, Cocina Equipada, Cocina Office, Gres Cerámica, No amueblado, Parking comunitario, Puerta Blindada, Suite - con baño, Terraza, Videoportero, Vistas a la montaña","Finques Bià","932756715","Referencia : 18-59 Contacto: Finques Bià","Piso Tipo Duplex en Olesa de Montserrat zona Eixample, 85 m. de superficie, 8 m2 de cocina, 25 m2 de comedor, 20 m2 de terraza, 3 habitaciones dobles (1 suite de 10'5m2, otra doble de 11'5m2 y otra de 9'5m2.) y  una habitación individual (de 6m2.), 2 baños (en planta noble con plato de ducha y en planta superior con banyera.), propiedad seminueva, cocina equipada, carpinteria interior de haya, orientación norte sur, suelo de gres, carpintería exterior de aluminio  climalit. Extras: agua, aire acondicionado  (4 aires acondicionados en comedor y habitaciones dobles.), ascensor, balcón  (2 balcones de 5m2 cada uno.), calefacción, gas ciudad , línea telefónica, luminoso, luz, ojos de buey, puerta blindada, terraza (de 25m2.), parking incluído.  cerca a esta propiedad tienes, árboles, colegios Pis tipus dúplex a Olesa de Montserrat zona Eixample, 85 m. de superfície, 8 m2 de cuina, 25 m2 de menjador, 20 m2 de terrassa, 3 habitacions dobles (1 suite de 10'5m2, una altra doble de 11'5m2 i una altra de 9'5m2.) i una habitació individual (de 6m2 .), 2 banys (en planta noble amb plat de dutxa i en planta superior amb banyera.), propietat seminova, cuina equipada, fusteria interior de faig, orientació sud, terra de gres, tancaments d'alumini  climalit. Extres: aigua, aire condicionat (4 aires condicionats en menjador i habitacions dobles.), Ascensor, balcó (2 balcons de 5m2 cada un.), Calefacció, gas ciutat, línia telefonica, lluminós, llum, ulls de bou, porta blindada, terrassa (de 25m2.), pàrquing inclos.  prop a aquesta propietat tens, arbres, col·legis","https://d.inmofactory.com/1/95491/15377456/196340438.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340425.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340427.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340429.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340430.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340432.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340434.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340436.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340423.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340418.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340412.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340407.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340400.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340404.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340415.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340433.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340439.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340440.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340443.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/15377456/196340444.jpg/690x518/p_1","148290897","https://www.fotocasa.es/vivienda/olesa-de-montserrat/aire-acondicionado-calefaccion-terraza-ascensor-parking-no-amueblado-olesa-de-montserrat-148290897?RowGrid=26&tti=3&opi=300"
"Abrera","390","1","","","","Casa adosada en  Avinguda Generalitat 39 / Abrera","Tipo de inmueble : Casa adosada","Aire acondicionado, Amueblado, Calefacción, Gres Cerámica, Horno, Lavadora, Nevera, Patio, Puerta Blindada, Terraza","","#","","se alquila habitación en casa adosada semi nueva en un.las carpas abrera ..preferiblemente se alquilara a una  chica ..la habitación será alquilada junto con su baño propio , acceso a cocina y terraza","https://d.fotocasa.es/anuncio/2019/01/17/149668136/463162406.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/17/149668136/463162409.jpg/690x518/p_1, https://d.fotocasa.es/anuncio/2019/01/17/149668136/463162413.jpg/690x518/p_1","149668136","https://www.fotocasa.es/vivienda/abrera/aire-acondicionado-calefaccion-terraza-patio-amueblado-abrera-149668136?RowGrid=27&tti=3&opi=300"
"Sant Andreu de la Barca","1500","3","1","240","","Chalet en Sant Andreu De La Barca, Zona De - Sant Andreu De La Barca / Sant Andreu de la Barca","Tipo de inmueble : Chalet, Estado : Muy buen estado, Antigüedad : De 20 a 30 años","Aire acondicionado, Calefacción, Garaje Privado, Parquet, Terraza, Trastero","Fincas Ordoñez","932933041","Referencia : 2498 Contacto: Fincas Ordoñez","FINCAS ORDOÑEZ alquila casa en Sant Andreu de la Barca de 240 m2 de superficie, 3 habitaciones (dos de 12 m2 y 1 suite de 35 m2) baño completo, 1 aseo con ducha, cocina seminueva, lavadero, terraza en el solarium de 15 m2, terraza de 40 m2, chimenea, buhardilla de 27 m2, carpintería exterior de aluminio, suelo de parquet y marmol, calefacción de gas natural, Aire Acondicionado más bomba de calor, parquing, trastero, finca de 25 años todo exterior. Condiciones: 1 mes de renta, 2 fianzas y 1 mes de gestiones más I.V.A.","https://d.inmofactory.com/1/98447/12752536/142738328.jpg/690x518/p_1","144117517","https://www.fotocasa.es/vivienda/sant-andreu-de-la-barca/aire-acondicionado-calefaccion-parking-terraza-trastero-sant-andreu-de-la-barca-144117517?RowGrid=28&tti=3&opi=300"
"Esparreguera","610","3","1","58","","Casa adosada en  Pau Duran / Esparreguera","Tipo de inmueble : Casa adosada, Estado : Casi nuevo, Antigüedad : De 30 a 50 años","Cocina Equipada, Lavadero, No amueblado, Puerta Blindada, Terraza","Inveriba","932934650","Referencia : 1500 Contacto: Inveriba","Casa en alquiler en Esparraguera, Barcelona. Dispone de una superficie de 58 m² distribuidos en 3 habitaciones, amplio salón-comedor, gran cocina, 1 baño, balcón y terraza con jardín. Casa situada en plena naturaleza, muy cerca de un supermercado y algún otro comercio. Fácil acceso a la B-231.REQUISITOS PARA PODER REALIZAR UNA VISITA- Al menos uno de los inquilinos debe tener contrato indefinido.- La suma de los ingresos de los inquilinos debe ser al menos de 1.800€ para este inmueble en concreto.","https://d.inmofactory.com/1/93528/15596772/201144212.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144213.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144214.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144215.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144216.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144217.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144218.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144219.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144220.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144221.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144222.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144223.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144224.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144225.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144226.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/15596772/201144227.jpg/690x518/p_1","148662719","https://www.fotocasa.es/vivienda/esparreguera/terraza-se-aceptan-mascotas-no-amueblado-esparreguera-148662719?RowGrid=29&tti=3&opi=300"
"Sant Esteve Sesrovires","1100","4","1","181","","Casa adosada en Pasaje Estacion / Sant Esteve Sesrovires","Tipo de inmueble : Casa adosada, Estado : Buen estado, Antigüedad : De 30 a 50 años","Amueblado, Armarios, Calefacción, Cocina Equipada, Cocina Office, Electrodomésticos, Garaje Privado, Gres Cerámica, Horno, Internet, Jardín Privado, Lavadero, Lavadora, Microondas, Nevera, Puerta Blindada, Terraza, Trastero, TV, Vistas a la montaña, Z. Comunitaria, Zona Deportiva","Inmobiliaria La Gavina","935438591","Referencia : G102A Contacto: Gemma","Esta casa está situada a un minuto caminando de los ferrocarriles catalanes, a un paso del centro. Dispone de jardín privado, garaje, un gran y luminoso salón comedor , 4 habitaciones y una amplia cocina","https://d.inmofactory.com/1/105746/15723443/204162657.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162093.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162678.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162373.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162633.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162008.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162041.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162054.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162608.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162079.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162108.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162133.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162190.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162209.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162225.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162341.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162363.jpg/690x518/p_1, https://d.inmofactory.com/1/105746/15723443/204162576.jpg/690x518/p_1","148874359","https://www.fotocasa.es/vivienda/sant-esteve-sesrovires/calefaccion-parking-jardin-terraza-trastero-zona-comunitaria-amueblado-television-se-aceptan-mascotas-internet-pasaje-estacion-148874359?RowGrid=30&tti=3&opi=300"
"Sant Esteve Sesrovires","1900","5","4","376","","Chalet en Sant Esteve Sesrovires / Sant Esteve Sesrovires","Tipo de inmueble : Chalet, Estado : Casi nuevo, Orientación : Orientación Sur","Amueblado, Armarios, Balcón, Calefacción, Cocina Equipada, Cocina Office, Domótica, Electrodomésticos, Garaje Privado, Gres Cerámica, Jardín Privado, Parquet, Patio, Piscina, Suite - con baño, Terraza, Trastero, Vistas a la montaña","A&D Immobiliaria","935432875","Referencia : V-306 Contacto: Ad Immobiliaria","Fabuloso chalet de alto perfil, disponible también en ALQUILER CON OPCIÓN A COMPRA (entrada obligatoria de 40.000€) La vivienda independiente cuenta  con 376 m2 útiles, situada en Sant Esteve sesrovires, zona cotizada y tranquila, dispone de 5 habitaciones una de ellas estilo suite con baño privado y un amplio vestidor. La habitación de matrimonio comunica con una terraza con unas agradables vistas, la casa dispone de 3 plantas, en la 3 planta nos encontramos con una buhardilla habilitada para zona de descanso u oficina, la cocina totalmente reformada y amplia, el salón - comedor nos brinda un gran espacio y luminosidad, los suelos de parquet, calefacción gas ciudad, terraza de 100 m2 con vistas panorámicas, garaje para 3 coches con 110m2 útiles, cuenta además con una piscina grande en frente de la vivienda con zona chill-out en la terraza para disfrutar de total tranquilidad y relajación.  Llámanos para más información y pregunta por las condiciones","https://d.inmofactory.com/1/108745/16263946/215706629.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706481.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706483.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706487.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706494.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706499.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706505.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706521.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706530.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706538.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706548.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706553.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706561.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706607.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706615.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706621.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706626.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706633.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706642.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706671.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706674.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706677.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706679.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706682.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706683.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706686.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706688.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706689.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706692.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706694.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706696.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706699.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706701.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706704.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706708.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706710.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706725.jpg/690x518/p_1, https://d.inmofactory.com/1/108745/16263946/215706729.jpg/690x518/p_1","149657750","https://www.fotocasa.es/vivienda/sant-esteve-sesrovires/calefaccion-parking-jardin-terraza-trastero-patio-piscina-amueblado-se-aceptan-mascotas-sant-esteve-sesrovires-149657750?RowGrid=31&tti=3&opi=300"
"Abrera","1400","3","2","206","","Chalet en Abrera / Abrera","Tipo de inmueble : Chalet, Antigüedad : De 10 a 20 años","Calefacción, Cocina Office, Garaje Privado, Lavadero, Piscina, Terraza, Trastero, Vistas a la montaña","Finques Olesa","932752548","Referencia : 51043 Contacto: Finques Olesa","CASA EN PLENA NATURALEZA!!! VEN Y VERAS  LOS EXCELENTÍSIMOS ACABADOS!!!Casa en venta en Abrera-  206 m construidos - 190 m útil de vivienda en parcela de  2.025 m- salón comedor de 45 m con chimenea- cocina americana de diseño- lavadero- 3 habitaciones ( 2 dobles - 1 suitte )-estudio de 76 m-baño completo- aseo con plato de ducha - suelo de parket- carpintera exterior madera doble cristal- calefacción a gasoil- piscina con depuradora- trastero CASA EN PLENA NATURALEZA!!! VEN Y VERAS  LOS EXCELENTÍSIMOS ACABADOS!!! Superficie total 206 m², casa superficie solar 2025 m², superficie útil 190 m², habitaciones dobles: 3, hab. dobles son suites: 1, 2 baños, antigüedad entre 10 y 20 años, calefacción (gasoil), asfaltado, carpintería exterior (madera), carpintería interior (madera doble crista), chimenea, cocina (americana), comedor (45 m), estado conservación: buen estado, jardín (propio), lavadero (5 m), nº de planta: 1, piscina (propia), puerta blind., soleado, suelos: parquet, urbanizado, vidrios dobles, alumbrado.","https://d.inmofactory.com/1/93002/16263417/215694000.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694001.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694002.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694003.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694004.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694005.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694006.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694007.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694008.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694009.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694010.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694011.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694012.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694013.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694014.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694015.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694016.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694017.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694018.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694019.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694020.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694022.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694023.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694024.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694025.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694026.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694027.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694028.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694029.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694030.jpg/690x518/p_1, https://d.inmofactory.com/1/93002/16263417/215694031.jpg/690x518/p_1","149657097","https://www.fotocasa.es/vivienda/abrera/calefaccion-parking-terraza-trastero-piscina-abrera-149657097?RowGrid=32&tti=3&opi=300"
"Collbató","850","4","2","160","","Casa adosada en Les Illes - Collbató / Collbató","Tipo de inmueble : Casa adosada, Estado : Muy buen estado, Antigüedad : De 10 a 20 años","Aire acondicionado, Amueblado, Armarios, Balcón, Calefacción, Cocina Office, Electrodomésticos, Garaje Privado, Gres Cerámica, Horno, Jardín Privado, Lavadero, Lavadora, Nevera, Puerta Blindada, Terraza, Vistas a la montaña","Fininform","932939346","Referencia : 002078 Contacto: Fininform","CASA ADOASADA DE 160 M2 DE 2 PLANTAS. TOTALMENTE REFORMADA. TERRAZA. PATIO DE 15 M2 DELANTE Y PATIO DE 25 M2 DETRAS. PLANTA PRIMERA : COMEDOR-SALÓN CON SALIDA TERRAZA + COCINA OFFICE  + 1 BAÑO. PLANTA PRIMERA :  4 HABITACIONES  + 1 BAÑO COMPLETO. PLANTA SÓTANOS : GARAGE CON SALIDA PATIO. CASA IMPECABLES. BOMBA DE CALOR. AIRE ACONDICONADO. TODA AMUEBLADA Y CON ELECTRODOMESTICOS. SUELO DE GRES. VENTANAS DE ALUMINIO.  PRECIO  850 EUROS - INCLUIDA CONTRIBUCIÓN-COMUNIDAD Y TASA DE BASURAS. DISPONIBILIDAD FINALES ENERO 2019.","https://d.inmofactory.com/1/85594/4812453/13989224.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923301.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208922940.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208922947.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923325.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989219.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923328.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923335.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/208923343.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989221.jpg/690x518/p_1, https://d.inmofactory.com/1/85594/4812453/13989210.jpg/690x518/p_1","149299489","https://www.fotocasa.es/vivienda/collbato/aire-acondicionado-calefaccion-parking-jardin-terraza-amueblado-collbato-149299489?RowGrid=33&tti=3&opi=300"
"Castellví de Rosanes","900","3","2","140","","Chalet en El Taio / Castellví de Rosanes","Tipo de inmueble : Chalet, Estado : Casi nuevo, Antigüedad : De 5 a 10 años","Balcón, Jardín Privado, Terraza","Mareus Sl","932938732","Referencia : 768 Contacto: Diaz, Yurena","Preciosa casa de madera, cómodamente distribuida, con terreno, zona para hacer barbacoas y una vistas fabulosas. La casa es muy acogedora y se distribuye en 3 hab completas y 2 baños, cocina semi abierta al comedor y salida directa al jardín.","https://d.inmofactory.com/1/86905/13550579/157923792.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13550579/157923802.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13550579/157923816.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13550579/157923909.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13550579/157923854.jpg/690x518/p_1, https://d.inmofactory.com/1/86905/13550579/157923873.jpg/690x518/p_1","149651195","https://www.fotocasa.es/vivienda/castellvi-de-rosanes/jardin-terraza-castellvi-de-rosanes-149651195?RowGrid=34&tti=3&opi=300"
"Olesa de Montserrat","1200","5","2","150","","Chalet en Olesa De Montserrat, Zona De Les Planes / Olesa de Montserrat","Tipo de inmueble : Chalet, Estado : Casi nuevo, Antigüedad : De 20 a 30 años","Aire acondicionado, Armarios, Balcón, Calefacción, Cocina Equipada, Cocina Office, Gres Cerámica, Horno, Jardín Privado, Lavadero, Patio, Terraza, Vistas a la montaña","Finques Bià","932756715","Referencia : 13-39 Contacto: Finques Bià","Casa en Olesa de Montserrat zona Les planes, 150 m. de superficie, 210 m. superficie parcela, 12 m2 de cocina, 20 m2 de comedor, 9 m2 de terraza, 4 habitaciones dobles y  una habitación sencilla, 2 baños, propiedad seminueva, cocina equipada, orientación este, suelo de gres, carpintería exterior de aluminio. Extras: agua, aire acondicionado , arma. empotrados, balcón , barbacoa, buhardilla , calefacción, chimenea, despensa, gas ciudad , jardín , luminoso, luz, patio, pérgola, terraza, todo exterior, colegios, urbanización, vistas despejadas","https://d.inmofactory.com/1/95491/8313069/63160061.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159448.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159461.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159514.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159532.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159547.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159922.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159977.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159990.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159965.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63160036.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63160002.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159485.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159492.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159911.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159477.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159931.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63159950.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63160082.jpg/690x518/p_1, https://d.inmofactory.com/1/95491/8313069/63160105.jpg/690x518/p_1","149173168","https://www.fotocasa.es/vivienda/olesa-de-montserrat/aire-acondicionado-calefaccion-jardin-terraza-patio-olesa-de-montserrat-149173168?RowGrid=35&tti=3&opi=300"
"Martorell","810","3","1","102","","Piso en  Montserrat / Martorell","Tipo de inmueble : Piso, Estado : Casi nuevo, Antigüedad : De 30 a 50 años","Ascensor, Calefacción, Cocina Equipada, Lavadero, No amueblado, Puerta Blindada, Terraza, Trastero, Z. Comunitaria","Inveriba","932934650","Referencia : 1357 Contacto: Inveriba","Piso en alquiler en Martorell, Barcelona. Dispone de una superficie de 102 m² distribuidos en amplio salón-comedor, 3 habitaciones, cocina con lavadero, 1 baño y el balcón. Finca con ascensor.Dispone de trastero.Piso situado alrededor de servicios, comercios, una escuela y paradas de autobús. Con fácil acceso en ferrocarril a la estación Martorell Central . Se alquila sin amueblar. Para concertar una visita deja tus datos en esta web y el comercial de la zona contactará tan pronto como sea posible.REQUISITOS PARA PODER REALIZAR UNA VISITA- Al menos uno de los inquilinos debe tener contrato indefinido.- La suma de los ingresos de los inquilinos debe ser al menos de 2.450€ para este inmueble en concreto.","https://d.inmofactory.com/1/93528/16240755/215314225.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314226.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314227.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314228.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314229.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314230.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314231.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314232.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314233.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314234.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314235.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314236.jpg/690x518/p_1, https://d.inmofactory.com/1/93528/16240755/215314237.jpg/690x518/p_1","149640091","https://www.fotocasa.es/vivienda/martorell/calefaccion-terraza-trastero-zona-comunitaria-ascensor-se-aceptan-mascotas-no-amueblado-martorell-149640091?RowGrid=1&tti=3&opi=300"
